cidade;jan_2017;fev_2017;mar_2017;abr_2017;mai_2017;jun_2017;jul_2017;ago_2017;set_2017;out_2017;nov_2017;dez_2017;jan_2018;fev_2018;mar_2018;abr_2018;mai_2018;jun_2018;jul_2018;ago_2018;set_2018;out_2018;nov_2018;dez_2018
Santos-Ponta da Praia;13;18;12;12;14;20;21;18;23;13;11;12;12;11;14;16;16;18;20;14;13;11;10;14
Santana;;;;;17;19;21;20;29;16;12;13;11;11;15;17;19;21;29;16;17;13;11;15
Parque D.Pedro II;11;14;12;11;16;19;21;22;32;16;13;14;11;11;15;17;20;24;34;17;18;13;12;17
Congonhas;13;17;14;14;17;20;20;21;30;18;15;15;13;12;18;19;20;27;32;17;18;15;14;16
Ibirapuera;10;13;10;10;15;17;19;20;31;17;13;14;12;11;15;16;18;20;28;12;14;10;10;12
Cid.Universitária-USP-;9;13;10;10;15;18;20;19;28;18;18;13;11;10;14;16;18;21;30;15;17;13;13;14
Grajau-Parelheiros;13;18;11;11;16;22;20;20;29;16;14;14;14;10;17;17;20;25;32;16;17;13;11;32
Pinheiros;11;14;11;11;17;19;18;;;15;12;13;11;10;14;16;18;22;31;15;17;14;13;15
Osasco;;;;;;;32;23;35;;16;16;15;13;18;20;24;31;43;21;22;16;16;19
Guarulhos-Paço;;18;14;14;17;19;21;22;31;18;14;16;13;15;16;18;19;21;31;16;17;12;11;14
Itaim Paulista;;19;11;10;16;20;22;21;30;17;11;;;11;16;17;24;;38;16;18;13;11;16
Marg.Tiete-Pte;13;15;12;11;18;21;29;27;36;21;15;16;14;12;17;20;25;29;41;19;19;14;13;16
S.Bernardo-Centro;12;16;12;12;16;17;18;19;28;17;12;15;12;10;16;16;18;22;28;14;15;12;13;16
Guarulhos-Pimentas;11;16;13;12;17;21;24;22;34;17;13;14;14;14;20;28;26;29;40;19;19;14;13;17
Pico do Jaragua;9;6;10;10;11;11;14;17;27;14;10;12;10;10;12;15;16;14;24;12;15;;16;22
S.Jose Campos-Jd.;9;10;8;9;12;14;14;17;22;12;8;9;8;8;11;12;14;16;21;11;13;9;7;10
Taubate;8;10;7;9;12;16;14;16;23;22;11;9;8;8;10;10;14;14;19;11;13;9;7;10
Ribeirao Preto;6;7;8;9;12;14;17;23;29;15;8;8;7;9;10;12;16;19;23;16;21;12;8;10
Piracicaba;7;10;8;11;12;14;17;17;26;12;9;9;7;8;10;14;17;17;28;13;16;11;9;10
Campinas-V.União;10;13;13;16;18;16;21;22;34;18;12;12;11;11;14;15;20;22;30;16;17;12;10;12
São Jose do Rio Preto;6;8;11;12;15;17;20;25;37;20;10;8;8;8;9;14;18;20;30;17;20;12;8;9
